id,title,desc,filename,type
3000,唐代驿使图,表现唐代驿传系统的历史绘画,images_history/history_3000.jpg,文物影像
3001,唐三彩骑马俑,唐代出土的骑马陶俑，反映当时的交通风貌,images_history/history_3001.jpg,文物影像
3002,张大千蜀道难,描绘蜀道艰险的近代名画,images_history/history_3002.jpg,文物影像
3003,明皇幸蜀图,唐玄宗避难入蜀的历史名画（台北故宫藏）,images_history/history_3003.jpg,文物影像
3004,子午谷地形图古代,展现子午道险峻的历史舆图,images_history/history_3004.jpg,文物影像
3005,杨贵妃荔枝图,关于妃子笑的历史题材绘画,images_history/history_3005.jpg,文物影像
3006,唐代马具文物,唐代马匹使用的鞍具文物,images_history/history_3006.jpg,文物影像
3007,秦岭栈道古画,描绘秦岭栈道风光的古代山水画,images_history/history_3007.jpg,文物影像
3008,长安城望楼复原,唐代长安城交通监控系统复原概念,images_history/history_3008.jpg,文物影像
3009,涪陵荔枝古迹,荔枝道起点涪陵的相关历史遗迹,images_history/history_3009.jpg,文物影像
3010,宋代 剑门关 壁画,关于宋代 剑门关 壁画的历史影像资料，反映了当时的文化风貌。,images_history/history_3010.jpg,文物影像
3011,宋代 剑门关 壁画,关于宋代 剑门关 壁画的历史影像资料，反映了当时的文化风貌。,images_history/history_3011.jpg,文物影像
3012,宋代 剑门关 壁画,关于宋代 剑门关 壁画的历史影像资料，反映了当时的文化风貌。,images_history/history_3012.jpg,文物影像
3013,遗址 剑门关 山水画,关于遗址 剑门关 山水画的历史影像资料，反映了当时的文化风貌。,images_history/history_3013.jpg,文物影像
3014,遗址 剑门关 山水画,关于遗址 剑门关 山水画的历史影像资料，反映了当时的文化风貌。,images_history/history_3014.jpg,文物影像
3015,遗址 剑门关 山水画,关于遗址 剑门关 山水画的历史影像资料，反映了当时的文化风貌。,images_history/history_3015.jpg,文物影像
3016,宋代 剑门关 线描图,关于宋代 剑门关 线描图的历史影像资料，反映了当时的文化风貌。,images_history/history_3016.jpg,文物影像
3017,宋代 剑门关 线描图,关于宋代 剑门关 线描图的历史影像资料，反映了当时的文化风貌。,images_history/history_3017.jpg,文物影像
3018,宋代 剑门关 线描图,关于宋代 剑门关 线描图的历史影像资料，反映了当时的文化风貌。,images_history/history_3018.jpg,文物影像
